Nome,Estilo,Padrao,Score,Pronuncia,Memorizacao,Comprimento,Sonoridade,Originalidade,EstiloScore,GitHub,.com,.com.br,.io,.dev,.app,npm,DockerHub
Alcoryna,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alcorza,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aldian,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aldias,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aldiel,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aldiena,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aldiora,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aldiosa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aldisa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aldiuma,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aldiuna,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aldiura,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aldixa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aldiyna,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aldiza,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alenar,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alenas,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alenia,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alenisa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alenixa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alenora,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alenosa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alenuma,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alenura,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alenver,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alenvera,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alenxa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alenya,Minimal,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aleran,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aleras,Latin Modern,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aleria,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alerisa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alerixa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alerosa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alerua,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aleruma,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aleruna,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alerver,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alerxa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alerya,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aleryna,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alerza,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alfalse,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alfalsen,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aliavera,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aliena,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aliora,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aliosa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aliovera,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aliovi,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alioxa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aliuma,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aliuna,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aliura,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aliyna,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Almeran,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Almeras,Latin Modern,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Almeria,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Almerisa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Almerixa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Almerosa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Almerua,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Almeruma,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Almeruna,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Almerva,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Almerver,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Almerxa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Almerya,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Almeryna,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Almerza,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnavel,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnavena,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnavera,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnavia,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnavio,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnavisa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnavixa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnavora,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnavos,Latin Modern,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnavosa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnavua,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnavum,Latin Modern,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnavuma,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnavun,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnavuna,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnavur,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnavura,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnavxa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnavya,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnavyna,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnavza,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnexa,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnexan,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnexar,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnexas,Latin Modern,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnexia,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnexisa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnexora,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnexosa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnexuma,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnexun,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnexura,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnexva,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnexver,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnexya,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnexyn,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnexyna,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnian,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnias,Latin Modern,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alniel,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alniena,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alniora,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alniosa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnisa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alniuma,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alniun,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alniuna,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alniura,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alnixa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alniyna,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alniza,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aloria,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alorian,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alorias,Latin Modern,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aloriel,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aloriela,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aloriena,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aloriora,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alorios,Latin Modern,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aloriosa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Alorisa,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aloriuma,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aloriuna,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aloriur,Scandinavian,prefix+middle+suffix,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
Aloriura,Invented Word,blend,84,20,20,15,20,15,10,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
